Particle No#,Diameter (nm),Length (nm)
1,77,325
2,69,338
3,57,346
4,89,301
5,65,352
6,84,317
7,67,295
8,67,313
9,69,378
10,57,323
11,65,269
12,66,223
13,57,314
14,57,278
15,50,339
16,46,327
17,63,229
18,61,320
19,51,319
20,68,344
21,62,363
22,58,325
23,62,322
24,48,314
25,77,362
26,58,344
27,59,332
28,69,343
29,57,361
30,50,277
31,64,350
32,51,319
33,65,317
34,61,358
35,69,308
36,53,358
37,69,339
38,57,284
39,73,321
40,61,411
41,56,232
42,56,259
43,52,302
44,62,349
45,55,368
46,60,325
47,57,405
48,57,338
49,65,281
50,51,407
